"Table 226.40. SAT mean scores of high school seniors, standard deviations, and percentage of the graduating class taking the SAT, by state: 2017, 2018, and 2019
              ",,,,,,,,,,,,,,,,,,,,,
State,2017,,,,,,,2018,,,,,,,2019,,,,,,
,Mean score and standard deviation (SD),,,,,,Percent taking SAT\1\,Mean score and standard deviation (SD),,,,,,Percent taking SAT\1\,Mean score and standard deviation (SD),,,,,,Percent taking SAT\1\
,Total SAT,,Evidence-based reading and writing (ERW),,Math,,,Total SAT,,Evidence-based reading and writing (ERW),,Math,,,Total SAT,,Evidence-based reading and writing (ERW),,Math,,
,Mean score,SD,Mean score,SD,Mean score,SD,,Mean score,SD,Mean score,SD,Mean score,SD,,Mean score,SD,Mean score,SD,Mean score,SD,
1 ,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
   United States ,1060,195,533,100,527,107,48,1068,204,536,102,531,114,58,1059,210,531,104,528,117,60
Alabama ,1165,199,593,100,572,111,5,1166,205,595,100,571,116,6,1143,206,583,102,560,115,7
Alaska ,1080,176,547,94,533,94,38,1106,173,562,90,544,96,43,1097,177,556,93,541,96,41
Arizona ,1116,179,563,92,553,98,30,1149,174,577,88,572,97,29,1134,187,569,95,565,103,31
Arkansas ,1208,198,614,103,594,107,3,1169,199,592,103,576,108,5,1141,208,582,107,559,112,6
California ,1055,186,531,95,524,103,53,1076,205,540,101,536,114,60,1065,214,534,105,531,119,63
Colorado ,1201,194,606,99,595,107,11,1025,201,519,103,506,108,100,1024,205,518,104,506,110,100
Connecticut ,1041,210,530,106,512,114,100,1053,217,535,108,519,118,100,1046,220,529,111,516,119,100
Delaware ,996,197,503,104,492,103,100,998,202,505,105,492,107,100,985,207,499,107,486,110,100
District of Columbia ,950,240,482,126,468,123,90,977,249,497,128,480,130,92,975,257,495,129,480,136,94
Florida ,1017,190,520,97,497,104,83,1014,196,522,97,493,110,97,999,199,516,97,483,112,100
Georgia ,1050,177,535,92,515,95,61,1064,183,542,93,522,100,70,1058,187,538,96,519,101,71
Hawaii ,1085,173,544,88,541,97,55,1099,177,550,89,549,100,56,1100,182,550,92,550,101,54
Idaho ,1005,182,513,97,493,96,93,1001,183,508,97,493,96,100,993,186,505,98,488,98,100
Illinois ,1115,241,559,119,556,130,9,1019,202,513,103,506,109,99,1013,208,509,103,504,114,100
Indiana ,1074,168,542,88,532,92,63,1086,170,546,88,539,94,67,1080,176,543,91,537,96,66
Iowa ,1275,189,641,95,635,106,2,1265,195,634,96,631,110,3,1244,202,622,99,622,115,3
Kansas ,1260,188,632,99,628,103,4,1265,188,633,94,631,108,4,1241,192,618,99,623,108,4
Kentucky ,1247,188,631,95,616,105,4,1248,187,630,91,618,108,4,1232,190,620,93,612,109,4
Louisiana ,1198,204,611,102,586,112,4,1210,203,615,99,595,113,4,1200,202,610,100,591,112,5
Maine ,1012,198,513,104,499,106,95,1013,197,512,102,501,107,99,1013,198,512,102,502,107,99
Maryland ,1060,199,536,102,524,108,69,1080,209,545,104,535,115,76,1058,220,535,109,523,120,82
Massachusetts ,1107,191,555,98,551,104,76,1125,200,562,101,563,110,80,1120,206,559,104,561,112,81
Michigan ,1005,195,509,101,495,105,100,1011,197,511,101,499,106,100,1003,201,507,101,496,110,100
Minnesota ,1295,177,644,92,651,99,3,1298,178,643,90,655,102,4,1284,180,636,93,648,102,4
Mississippi ,1242,187,634,91,607,107,2,1236,190,630,93,606,107,3,1237,202,628,100,608,113,3
Missouri ,1271,189,640,95,631,105,3,1262,192,633,93,629,111,4,1236,197,622,98,614,111,4
Montana ,1196,161,605,85,591,89,10,1198,164,606,85,592,91,10,1199,167,603,86,596,93,9
Nebraska ,1253,198,629,100,625,109,3,1252,196,629,97,623,113,3,1260,192,628,98,631,108,3
