"Table 203.20. Enrollment in public elementary and secondary schools, by region, state, and jurisdiction: Selected years, fall 1990 through fall 2030",,,,,,,,,,,,,,,,,,,,,,,,
"Region, state, and jurisdiction",Actual total enrollment,,,,,,,,,,,,,,,,,"Percent change in total enrollment, 2016 to 2021",Projected enrollment,,,,,"Percent change in total enrollment, 2021 to 2030"
,Fall 1990,Fall 2000,Fall 2010,Fall 2011,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,,Fall 2020,,Fall 2021,,,Fall 2022,Fall 2023,Fall 2024,Fall 2025,Fall 2030,
1,2,3,4,5,6,7,8,9,10,11,12,13,,14,,15,,16,17,18,19,20,21,22
   United States,"41,216,683","47,203,539","49,484,181","49,521,669","49,771,118","50,044,522","50,312,581","50,438,043","50,615,189","50,685,567","50,694,061","50,796,445",,"49,374,751",,"49,452,864",,-2.3,"49,934,700","49,733,800","49,484,800","49,120,100","47,252,500",-4.4
Region,,,,,,,,,,,,,,,,,,,,,,,,
  Northeast,"7,281,763","8,222,127","8,071,335","7,953,981","7,959,128","7,961,243","7,979,856","7,933,762","7,959,304","7,946,536","7,910,076","7,907,997",,"7,678,941",,"7,655,950",,-3.8,"7,720,300","7,678,900","7,635,700","7,570,600","7,200,000",-6.0
  Midwest,"9,943,761","10,729,987","10,609,604","10,573,792","10,559,230","10,572,920","10,560,539","10,555,579","10,538,947","10,523,753","10,491,845","10,440,828",,"10,151,900",,"10,168,795",,-3.5,"10,305,100","10,282,500","10,245,400","10,173,200","9,768,200",-3.9
  South,"14,807,016","17,007,261","18,805,000","18,955,932","19,128,376","19,298,714","19,506,193","19,641,472","19,749,816","19,824,469","19,863,988","19,998,517",,"19,485,865",,"19,632,535",,-0.6,"19,812,500","19,756,200","19,688,200","19,566,900","19,005,200",-3.2
  West,"9,184,143","11,244,164","11,998,242","12,037,964","12,124,384","12,211,645","12,265,993","12,307,230","12,367,122","12,390,809","12,428,152","12,449,103",,"12,058,045",,"11,995,584",,-3.0,"12,096,700","12,016,200","11,915,400","11,809,400","11,279,100",-6.0
State,,,,,,,,,,,,,,,,,,,,,,,,
  Alabama,"721,806","739,992","755,552","744,621","744,637","746,204","744,164","743,789","744,930","742,444","739,716","744,235",,"734,559",,"748,268",,0.4,"753,900","756,100","757,500","755,600","740,400",-1.1
  Alaska,"113,903","133,356","132,104","131,167","131,489","130,944","131,176","132,477","132,737","132,872","130,963","132,017",,"129,872",,"129,944",,-2.1,"133,100","133,400","133,400","133,100","128,500",-1.1
  Arizona,"639,853","877,696","1,071,751","1,080,319","1,089,384","1,102,445","1,111,695","1,109,040","1,123,137","1,110,851","1,141,511","1,152,586",,"1,111,500",,"1,133,284",,0.9,"1,144,400","1,149,100","1,152,300","1,152,400","1,155,000",1.9
  Arkansas,"436,286","449,959","482,114","483,114","486,157","489,979","490,917","492,132","493,447","496,085","495,291","496,927",,"486,305",,"489,565",,-0.8,"497,600","498,700","499,600","497,500","487,700",-0.4
